Title,ID,Cover,Genres,Action and Adventure,Animals,Art,Children,Contemporary,Crime,Death,Dystopian,Espionage,Family,Fantasy,Fiction,Friendship,Health,Historical,Horror,Humor,Legal,Memoir,Murder,Mystery and Detective,Paranormal,Political,Psychological,Relationships,Romance,Self-help,Suspense,Thriller,Travel,War,Women,author,year,total_weeks,first_week,debut_rank,best_rank
A DOGS LIFE,/works/OL80493W,418340,"['Fiction', 'Relationships']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Peter Mayle,1995,9,1995-04-09,12,5
CHARMS FOR THE EASY LIFE,/works/OL1802337W,8780613,"['Fiction', 'Women', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Kaye Gibbons,1993,8,1993-05-02,11,11
CHARMS FOR THE EASY LIFE,/works/OL1802337W,4006078,"['Fiction', 'Women', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Kaye Gibbons,1993,8,1993-05-02,11,11
CHARONS CLAW,/works/OL16637308W,7314021,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R. A. Salvatore,2012,1,2012-08-26,4,4
CHASING DARKNESS,/works/OL2005878W,5431237,"['Fiction', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Robert Crais,2008,2,2008-07-20,7,7
CHASING DESTINY,/works/OL98627W,362314,"['Fiction', 'Contemporary', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Eric Jerome Dickey,2006,3,2006-04-30,8,6
CHASING FIRE,/works/OL15673515W,6685199,"['Women', 'Suspense', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Nora Roberts,2011,5,2011-05-01,1,1
CHASING FIRE,/works/OL15673515W,7948589,"['Women', 'Suspense', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Nora Roberts,2011,5,2011-05-01,1,1
CHASING FIRE,/works/OL15673515W,8357488,"['Women', 'Suspense', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Nora Roberts,2011,5,2011-05-01,1,1
CHASING HARRY WINSTON,/works/OL5825375W,6469927,"['Fiction', 'Women', 'Friendship']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lauren Weisberger,2008,11,2008-06-15,6,4
A DOGS WAY HOME,/works/OL18825181W,12726484,"['Fiction', 'Relationships', 'Family']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,W. Bruce Cameron,2017,2,2017-05-28,10,10
CHASING THE DIME,/works/OL111736W,188416,"['Thriller', 'Women', 'Fiction', 'Crime', 'Mystery and Detective']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,Michael Connelly,2002,3,2002-11-03,6,3
CHASING THE NIGHT,/works/OL20369661W,9036878,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iris Johansen,2010,1,2010-11-07,13,13
CHERRY,/works/OL19330477W,8441648,"['Contemporary', 'Relationships', 'Fiction', 'Crime', 'Psychological', 'War']",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Nico Walker,2018,1,2018-09-02,14,14
CHESAPEAKE,/works/OL2385450W,4431495,"['Fiction', 'Historical']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James A. Michener,1978,47,1978-07-23,1,1
CHESAPEAKE,/works/OL2385450W,606189,"['Fiction', 'Historical']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James A. Michener,1978,47,1978-07-23,1,1
CHESAPEAKE BLUE,/works/OL111421W,492757,"['Fiction', 'Family', 'Contemporary', 'Romance']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Nora Roberts,2002,5,2002-11-24,1,1
CHESAPEAKE BLUE,/works/OL111421W,1471128,"['Fiction', 'Family', 'Contemporary', 'Romance']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Nora Roberts,2002,5,2002-11-24,1,1
CHESAPEAKE BLUE,/works/OL111421W,861999,"['Fiction', 'Family', 'Contemporary', 'Romance']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Nora Roberts,2002,5,2002-11-24,1,1
CHESTNUT STREET,/works/OL17822505W,8113466,"['Contemporary', 'Relationships', 'Women', 'Fiction', 'Family', 'Humor']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Maeve Binchy,2014,5,2014-05-11,3,3
CHESTNUT STREET,/works/OL17822505W,9001569,"['Contemporary', 'Relationships', 'Women', 'Fiction', 'Family', 'Humor']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Maeve Binchy,2014,5,2014-05-11,3,3
CHESTNUT STREET,/works/OL17822505W,9020249,"['Contemporary', 'Relationships', 'Women', 'Fiction', 'Family', 'Humor']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Maeve Binchy,2014,5,2014-05-11,3,3
CHILD 44,/works/OL20304200W,8963938,"['Suspense', 'Fiction', 'Historical', 'Murder', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Tom Rob Smith,2008,3,2008-05-18,9,9
CHILDS PLAY,/works/OL20198169W,8848020,['Family'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Danielle Steel,2019,1,2019-10-27,9,9
CHILDS PLAY,/works/OL20198169W,11133403,['Family'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Danielle Steel,2019,1,2019-10-27,9,9
CHILDREN OF THE JEDI,/works/OL497873W,372419,"['Fiction', 'Action and Adventure']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbara Hambly,1995,4,1995-04-30,6,6
CHILDREN OF THE JEDI,/works/OL497873W,11152450,"['Fiction', 'Action and Adventure']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbara Hambly,1995,4,1995-04-30,6,6
CHILDREN OF THE JEDI,/works/OL497873W,1008834,"['Fiction', 'Action and Adventure']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbara Hambly,1995,4,1995-04-30,6,6
CHILDREN OF THE STORM,/works/OL175829W,52833,"['Suspense', 'Fiction', 'Women', 'Historical', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Elizabeth Peters,2003,2,2003-04-20,11,11
CHILDREN OF THE STORM,/works/OL175829W,7725152,"['Suspense', 'Fiction', 'Women', 'Historical', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Elizabeth Peters,2003,2,2003-04-20,11,11
CHILDREN OF THE STORM,/works/OL175829W,10370516,"['Suspense', 'Fiction', 'Women', 'Historical', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Elizabeth Peters,2003,2,2003-04-20,11,11
CHILL FACTOR,/works/OL15334587W,9624102,"['Fiction', 'Mystery and Detective', 'Murder', 'Suspense']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Sandra Brown,2005,6,2005-09-04,1,1
CHILL OF FEAR,/works/OL504634W,227452,"['Fiction', 'Mystery and Detective', 'Suspense']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Kay Hooper,2005,3,2005-08-14,12,12
CHILL OF FEAR,/works/OL504634W,9123494,"['Fiction', 'Mystery and Detective', 'Suspense']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Kay Hooper,2005,3,2005-08-14,12,12
CHILL OF FEAR,/works/OL504634W,11762952,"['Fiction', 'Mystery and Detective', 'Suspense']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Kay Hooper,2005,3,2005-08-14,12,12
CHINA COURT,/works/OL1825316W,6473755,"['Fiction', 'Historical', 'Family']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rumer Godden,1961,21,1961-03-26,11,5
CHINA DOLLS,/works/OL25686632W,12210799,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lisa See,2014,2,2014-06-22,10,10
CHLOE MARR,/works/OL476786W,10148554,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A. A. Milne,1946,1,1946-09-22,16,16
CHOCOLATE CREAM PIE MURDER,/works/OL20158719W,8803829,"['Fiction', 'Mystery and Detective', 'Murder']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Joanne Fluke,2019,1,2019-03-17,6,6
CHOKE,/works/OL18940W,10925829,"['Fiction', 'Psychological', 'Humor']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Chuck Palahniuk,2001,3,2001-06-10,10,10
CHOKE,/works/OL18940W,6621215,"['Fiction', 'Psychological', 'Humor']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Chuck Palahniuk,2001,3,2001-06-10,10,10
CHOKE,/works/OL18940W,243825,"['Fiction', 'Psychological', 'Humor']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Chuck Palahniuk,2001,3,2001-06-10,10,10
CHOPPING SPREE,/works/OL14911378W,861954,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diane Mott Davidson,2002,2,2002-07-14,12,12
A DREAM OF KINGS,/works/OL1996840W,3365771,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Davis Grubb,1955,1,1955-10-23,15,15
A DREAM OF KINGS,/works/OL1996840W,3365771,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harry Mark Petrakis,1966,12,1966-10-30,10,8
CHOPPY WATER,/works/OL20805298W,10103925,"['Fiction', 'Action and Adventure']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stuart Woods,2020,1,2020-08-30,6,6
CHOSEN ONES,/works/OL20660568W,9324176,['Paranormal'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Veronica Roth,2020,1,2020-04-26,11,11
CHOSEN ONES,/works/OL20660568W,10093810,['Paranormal'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Veronica Roth,2020,1,2020-04-26,11,11
CHOSEN ONES,/works/OL20660568W,11189167,['Paranormal'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Veronica Roth,2020,1,2020-04-26,11,11
CHOSEN PREY,/works/OL152104W,4342645,"['Fiction', 'Mystery and Detective', 'Crime', 'Murder']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,John Sandford,2001,8,2001-05-27,2,1
CHOSEN PREY,/works/OL152104W,7465053,"['Fiction', 'Mystery and Detective', 'Crime', 'Murder']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,John Sandford,2001,8,2001-05-27,2,1
CHOSEN PREY,/works/OL152104W,8427680,"['Fiction', 'Mystery and Detective', 'Crime', 'Murder']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,John Sandford,2001,8,2001-05-27,2,1
CHRIST IN CONCRETE,/works/OL4311220W,295533,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pietro di Donato,1939,11,1939-09-04,3,2
CHRIST THE LORD: OUT OF EGYPT,/works/OL14962665W,9324110,"['Fiction', 'Historical']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anne Rice,2005,12,2005-11-20,4,4
CHRIST THE LORD: OUT OF EGYPT,/works/OL14962665W,10983488,"['Fiction', 'Historical']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anne Rice,2005,12,2005-11-20,4,4
CHRIST THE LORD: THE ROAD TO CANA,/works/OL15176751W,7009596,"['Fiction', 'Historical']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anne Rice,2008,3,2008-03-23,9,8
CHRIST THE LORD: THE ROAD TO CANA,/works/OL15176751W,10870622,"['Fiction', 'Historical']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anne Rice,2008,3,2008-03-23,9,8
CHRIST THE LORD: THE ROAD TO CANA,/works/OL15176751W,11412640,"['Fiction', 'Historical']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anne Rice,2008,3,2008-03-23,9,8
CHRISTINE,/works/OL81619W,9255994,"['Horror', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stephen King,1983,32,1983-04-10,3,2
CHRISTINE,/works/OL81619W,8595203,"['Horror', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stephen King,1983,32,1983-04-10,3,2
CHRISTINE,/works/OL81619W,8772797,"['Horror', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stephen King,1983,32,1983-04-10,3,2
CHRISTMAS HOLIDAY,/works/OL505932W,229508,"['Fiction', 'Action and Adventure']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W. Somerset Maugham,1939,11,1939-10-30,3,2
A FABLE,/works/OL82911W,8260994,"['Fiction', 'Historical', 'War']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,William Faulkner,1954,15,1954-08-22,6,4
CHRISTMAS LETTERS,/works/OL1911371W,1999051,"['Women', 'Contemporary', 'Romance', 'Fiction']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Debbie Macomber,2006,3,2006-10-22,15,12
CHRISTMAS LETTERS,/works/OL1911371W,11454541,"['Women', 'Contemporary', 'Romance', 'Fiction']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Debbie Macomber,2006,3,2006-10-22,15,12
CHRISTMAS LETTERS,/works/OL1911371W,6934877,"['Women', 'Contemporary', 'Romance', 'Fiction']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Debbie Macomber,2006,3,2006-10-22,15,12
CHRISTY,/works/OL1917105W,12819569,"['Women', 'Romance', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Catherine Marshall,1967,38,1967-11-05,9,2
CHRISTY,/works/OL1917105W,562442,"['Women', 'Romance', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Catherine Marshall,1967,38,1967-11-05,9,2
CHRISTY,/works/OL1917105W,7889779,"['Women', 'Romance', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Catherine Marshall,1967,38,1967-11-05,9,2
CHROMOSOME 6,/works/OL137257W,1469686,"['Fiction', 'Suspense']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Robin Cook,1997,8,1997-04-06,4,2
CILKAS JOURNEY,/works/OL20842518W,10151350,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heather Morris,2019,2,2019-10-20,8,8
CIMARRON ROSE,/works/OL15109514W,545461,"['Fiction', 'Legal', 'Mystery and Detective', 'Murder']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,James Lee Burke,1997,3,1997-08-24,16,13
CINNAMON ROLL MURDER,/works/OL26322841W,13868182,"['Women', 'Mystery and Detective', 'Crime', 'Fiction']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Joanne Fluke,2012,1,2012-03-18,7,7
CINNAMON SKIN,/works/OL2446210W,4325021,"['Fiction', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,John D. MacDonald,1982,13,1982-07-04,9,3
CIRCE,/works/OL18012166W,8739376,"['Fiction', 'Historical', 'Fantasy', 'Paranormal']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Madeline Miller,2018,16,2018-04-29,1,1
CIRCE,/works/OL18012166W,8838757,"['Fiction', 'Historical', 'Fantasy', 'Paranormal']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Madeline Miller,2018,16,2018-04-29,1,1
CIRCE,/works/OL18012166W,9216247,"['Fiction', 'Historical', 'Fantasy', 'Paranormal']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Madeline Miller,2018,16,2018-04-29,1,1
CIRCLE OF FRIENDS,/works/OL56806W,5296581,"['Friendship', 'Women', 'Romance', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Maeve Binchy,1991,12,1991-01-27,14,6
CIRCLE OF FRIENDS,/works/OL56806W,9104226,"['Friendship', 'Women', 'Romance', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Maeve Binchy,1991,12,1991-01-27,14,6
CIRCLE OF FRIENDS,/works/OL56806W,10448134,"['Friendship', 'Women', 'Romance', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Maeve Binchy,1991,12,1991-01-27,14,6
CIRCLING THE SUN,/works/OL20010048W,13078560,"['Women', 'Historical', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Paula McLain,2015,2,2015-09-13,11,11
